Year,Males,Females,Total
1990,1808615,1878277,3686892
1991,1826040,1896288,3722328
1992,1847505,1917964,3765469
1993,1870723,1941483,3812206
1994,1889096,1959992,3849088
1995,1908240,1979187,3887427
1996,1924373,1995162,3919535
1997,1941037,2011710,3952747
1998,1957442,2027948,3985390
1999,1973852,2044201,4018053
2000,1975368,2066401,4041769
2001,1991295,2076837,4068132
2002,2002276,2087599,4089875
2003,2015830,2101340,4117170
2004,2033808,2112293,4146101
2005,2053930,2128812,4182742
2006,2071051,2148188,4219239
2007,2092237,2164435,4256672
2008,2105293,2184585,4289878
2009,2124027,2193047,4317074
2010,2134952,2204415,4339367
2011,2149724,2219630,4369354
2012,2158681,2226118,4384799
2013,2167597,2232880,4400477
2014,2173877,2239180,4413057
2015,2180242,2244369,4424611
2016,2186553,2250421,4436974
2017,2194320,2259870,4454190
